Id,Label,community,frequency,degree_weighted,betweenness,pagerank
palavras,palavras,0,46,273.0000,0.000000,0.008754
escrita,escrita,2,40,127.0000,0.000000,0.005155
estudos,estudos,1,55,271.0000,0.000000,0.008494
sociologia,sociologia,1,33,131.0000,0.000412,0.005466
humano,humano,1,145,582.0000,0.018965,0.017440
estrito,estrito,3,22,145.0000,0.000000,0.005277
tecnica,tecnica,3,77,268.0000,0.018759,0.009314
figuracoes,figuracoes,2,90,338.0000,0.032571,0.011344
corpus,corpus,1,47,199.0000,0.000412,0.007167
recalling,recalling,0,29,137.0000,0.000000,0.005300
descreve,descreve,2,83,307.0000,0.037518,0.010138
claude,claude,2,52,99.0000,0.000000,0.004504
ciencia,ciencia,1,157,788.0000,0.108019,0.023041
obras,obras,0,82,338.0000,0.007627,0.011043
capes,capes,1,73,344.0000,0.072769,0.011666
sustenta,sustenta,0,52,167.0000,0.000206,0.006318
aime,aime,0,97,435.0000,0.020202,0.013774
topologia,topologia,0,43,245.0000,0.000000,0.008091
parte,parte,2,63,202.0000,0.002061,0.007493
laboratory,laboratory,4,37,258.0000,0.008864,0.008430
figuras,figuras,1,41,137.0000,0.000206,0.005718
partir,partir,1,93,262.0000,0.000000,0.009184
digital,digital,1,54,151.0000,0.002474,0.006056
aprendizado,aprendizado,3,52,266.0000,0.017110,0.008796
livros,livros,0,36,191.0000,0.000000,0.006790
sociais,sociais,1,55,229.0000,0.001855,0.007473
tecnociencia,tecnociencia,2,80,343.0000,0.020408,0.011548
analise,analise,2,138,575.0000,0.045145,0.018393
antropologia,antropologia,1,63,272.0000,0.021439,0.009609
conceito,conceito,2,67,230.0000,0.016285,0.007957
life,life,4,41,274.0000,0.000825,0.008868
clarifications,clarifications,0,33,182.0000,0.012162,0.006606
generativa,generativa,3,52,248.0000,0.008246,0.007975
action,action,4,60,422.0000,0.001237,0.012634
registro,registro,0,65,221.0000,0.000000,0.007576
pesquisa,pesquisa,3,78,242.0000,0.009689,0.008211
network,network,0,47,173.0000,0.000000,0.006174
obra,obra,2,79,320.0000,0.005360,0.010210
sistemas,sistemas,3,76,159.0000,0.004123,0.005768
termos,termos,0,64,189.0000,0.000000,0.006543
campo,campo,0,372,1754.0000,0.528448,0.050242
vocabulario,vocabulario,0,140,614.0000,0.131107,0.018419
mostra,mostra,1,47,176.0000,0.000206,0.006592
figuracao,figuracao,2,97,379.0000,0.033189,0.012014
densidade,densidade,0,61,358.0000,0.000000,0.011381
lado,lado,2,48,107.0000,0.000000,0.004655
base,base,1,41,123.0000,0.000000,0.005078
lexicometrica,lexicometrica,2,32,184.0000,0.000000,0.006664
artigos,artigos,0,67,315.0000,0.014636,0.010335
figurativos,figurativos,0,33,243.0000,0.000000,0.007922
aparece,aparece,0,53,268.0000,0.000000,0.008867
livro,livro,0,45,142.0000,0.000000,0.005493
secao,secao,2,57,160.0000,0.000000,0.006128
conhecimento,conhecimento,1,97,212.0000,0.002268,0.007902
quadro,quadro,0,45,63.0000,0.000000,0.003250
interna,interna,1,25,74.0000,0.000000,0.003592
modelo,modelo,3,87,181.0000,0.007627,0.006941
descricao,descricao,2,39,134.0000,0.000000,0.005384
hope,hope,4,41,302.0000,0.000000,0.009496
brasileira,brasileira,1,38,108.0000,0.000206,0.004824
etapa,etapa,0,60,264.0000,0.004535,0.008877
pandora,pandora,4,47,342.0000,0.025768,0.010564
mediacao,mediacao,3,38,179.0000,0.000000,0.006654
pratica,pratica,2,73,263.0000,0.004535,0.009022
rede,rede,2,134,493.0000,0.020614,0.014962
artificial,artificial,3,273,1644.0000,0.170068,0.044363
maquina,maquina,3,76,256.0000,0.001237,0.008630
frequencia,frequencia,0,29,168.0000,0.000000,0.006079
producao,producao,1,51,168.0000,0.001443,0.006456
openalex,openalex,1,37,158.0000,0.000825,0.006318
leitura,leitura,0,106,315.0000,0.002474,0.010629
objeto,objeto,3,99,353.0000,0.013193,0.011288
contagem,contagem,0,49,187.0000,0.000000,0.006547
linguagem,linguagem,3,34,151.0000,0.000000,0.005840
haraway,haraway,2,50,131.0000,0.000000,0.005216
teoria,teoria,2,84,422.0000,0.041435,0.012802
descrever,descrever,2,37,138.0000,0.000000,0.005342
catalogo,catalogo,0,88,408.0000,0.084931,0.013032
tecnologia,tecnologia,1,98,324.0000,0.016285,0.010424
recorte,recorte,1,39,113.0000,0.000000,0.004758
textil,textil,0,48,316.0000,0.000000,0.010160
scielo,scielo,1,51,264.0000,0.027005,0.009421
ator,ator,2,68,349.0000,0.000000,0.010599
area,area,1,62,265.0000,0.016285,0.009048
industria,industria,0,39,213.0000,0.000000,0.007052
maior,maior,2,33,123.0000,0.000000,0.005013
publico,publico,1,35,125.0000,0.003298,0.005075
distribuicao,distribuicao,0,52,291.0000,0.010513,0.009714
defesas,defesas,1,38,186.0000,0.000618,0.006698
science,science,4,90,421.0000,0.001237,0.012648
etnografia,etnografia,2,70,194.0000,0.003298,0.007096
dado,dado,1,120,306.0000,0.018553,0.010893
inteligencia,inteligencia,3,270,1601.0000,0.256030,0.043157
relacao,relacao,2,47,115.0000,0.000000,0.004853
latour,latour,2,244,927.0000,0.212327,0.027673
ocorrencias,ocorrencias,0,84,431.0000,0.010513,0.013062
repositorio,repositorio,1,44,183.0000,0.004123,0.007092
militar,militar,0,153,974.0000,0.198103,0.027760
topologico,topologico,0,26,159.0000,0.000000,0.005721
cadeia,cadeia,3,55,87.0000,0.000000,0.003984
